day,level,filename,title,prompt
11,1,img_day11.png,Leo's Chicken Noodle,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo goes to the market to buy food. He wants to try making chicken noodle soup today. He buys fresh chicken and a little salt."
12,1,img_day12.png,Mimi's Grape Bowl,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Mimi has a big bowl of fruit. She puts oranges and grapes inside. Leo comes over."
13,1,img_day13.png,Leo's Meal Time,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo wakes up and is ready for breakfast. He sits at the table and eats eggs. At noon, Mimi wants to make lunch."
14,1,img_day14.png,Week 2 Food Review!,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: a group of cheerful children celebrating finishing a week of learning together, clapping and giving high-fives in a family kitchen table full of fruit and simple dishes"
15,1,img_day15.png,Welcome Home 🏠,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: After school, Leo runs home. He opens the door and steps inside. The floor is clean and cool."
16,1,img_day16.png,The Living Room 🛋️,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo and Mimi go to the living room. Dad is on the big sofa. Come and sit with me!"
17,1,img_day17.png,The Kitchen 🍳,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Mum is in the kitchen. Can we help? asks Leo."
18,1,img_day18.png,Bedtime 🛏️,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: It is bedtime. Leo puts his toy on the shelf. Mimi hugs her soft pillow."
19,1,img_day19.png,My Family 👨‍👩‍👧‍👦,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: After dinner the family sits together. This is my mother, says Leo. She cooks the best food!"
20,1,img_day20.png,Our House &#x1F3E1;,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo and Mimi draw a map of their house. Our house has a big garden, says Leo. The roof is red and shiny!"
21,1,img_day21.png,Week 3 Home Review!,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: a group of cheerful children celebrating finishing a week of learning together, clapping and giving high-fives in a cozy Thai family living room"
22,1,img_day22.png,First Day at School,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo wakes up early. It is his first day at school! He walks into a big class."
23,1,img_day23.png,My Classroom,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Mimi is in her classroom. She has a book and a pen on her desk. The teacher writes on the board."
24,1,img_day24.png,Leo's School Bag,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo has a big blue bag. In his bag, he has a pencil and a ruler. He also has an eraser and some paper."
25,1,img_day25.png,Playtime!,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: It is playtime at school! Leo and his friends run outside. They jump and laugh."
26,1,img_day26.png,My Teacher,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo teacher is very kind. She helps Leo every day. Leo loves to listen to her."
27,1,img_day27.png,Learning to Count,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Mimi sees numbers on the board. Lets count! says the teacher."
28,1,img_day28.png,Week 4 School Review!,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: a group of cheerful children celebrating finishing a week of learning together, clapping and giving high-fives in a friendly classroom with desks and crayons"
29,1,img_day29.png,Colors Around Us,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo paints a picture at school. He uses red for the apple. The sky is blue."
30,1,img_day30.png,Shapes Everywhere,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Mimi sees shapes everywhere! The sun is a big circle. The window is a square."
31,2,img_day31.png,My Face,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo looks in the mirror. He sees his happy face! He has two big eyes and two ears."
32,2,img_day32.png,My Body,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Mimi has a strong body! She has soft hair on her head. She waves her hand and lifts her two arms."
33,2,img_day33.png,Smile and Laugh,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo brushes his white tooth. He counts one, two on his fingers. A warm scarf is on his neck."
34,2,img_day34.png,Five Senses,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo plays a game with his five senses. He can see a red bird. He can hear a sweet song."
35,2,img_day35.png,Move Your Body,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Every morning Mimi stands up tall. She washes her hands with soap. She brushes her hair."
36,2,img_day36.png,Strong and Tall,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo is young and strong. He can climb the tall tree! But today Leo feels sick."
37,2,img_day37.png,Week 5 Body Review!,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: a group of cheerful children celebrating finishing a week of learning together, clapping and giving high-fives in a bright open space with balloons and paper stars"
38,2,img_day38.png,What to Wear,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Mimi opens her closet. What should she wear today? She picks a blue shirt."
39,2,img_day39.png,More Clothes,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo likes his clothes. He finds a coin in his pocket! His coat has five little buttons."
40,2,img_day40.png,Getting Dressed,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: It is morning. Leo wants to get dressed. He must choose a shirt."
